"","x"
"1","ADAMTSL1"
"2","ANGPTL2"
"3","ARHGEF3"
"4","BCL2"
"5","C1orf21"
"6","CLDN11"
"7","CLEC3B"
"8","CLGN"
"9","COL14A1"
"10","COL21A1"
"11","CPM"
"12","CYRIA"
"13","DCLK1"
"14","DENND2A"
"15","EVA1C"
"16","FADS2"
"17","FGF13"
"18","GALNT15"
"19","GALNT16"
"20","GLDN"
"21","GLIS3"
"22","GPC6"
"23","HRH1"
"24","IL16"
"25","IRX1"
"26","IRX2"
"27","KAZN"
"28","LGALS3"
"29","LIFR"
"30","MAF"
"31","MANSC1"
"32","MBP"
"33","MIR99AHG"
"34","NARS2"
"35","NFIA"
"36","NIBAN1"
"37","P3H2"
"38","PDGFRA"
"39","PLA2G4A"
"40","PLAC9"
"41","PPL"
"42","PREX1"
"43","RIPOR2"
"44","SELENOP"
"45","SFRP1"
"46","SLC9A9"
"47","SORCS2"
"48","TNFRSF21"
"49","VIT"
