HGNC ID	Status	Approved symbol	Approved name	Alias symbol
HGNC:31497	Approved	MIR10A	microRNA 10a	hsa-mir-10a
HGNC:31544	Approved	MIR15B	microRNA 15b	hsa-mir-15b
HGNC:31546	Approved	MIR16-2	microRNA 16-2	hsa-mir-16-2
HGNC:1274	Approved	MIR99AHG	mir-99a-let-7c cluster host gene	MONC
HGNC:31487	Approved	MIR100	microRNA 100	hsa-mir-100
HGNC:39522	Approved	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	AGD1
HGNC:39522	Approved	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	lncRNA-N2
HGNC:39522	Approved	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	linc-NeD125
HGNC:31511	Approved	MIR128-2	microRNA 128-2	hsa-mir-128b
HGNC:31511	Approved	MIR128-2	microRNA 128-2	hsa-mir-128-2
HGNC:31514	Approved	MIR130A	microRNA 130a	hsa-mir-130a
HGNC:31516	Approved	MIR132	microRNA 132	hsa-mir-132
HGNC:31542	Approved	MIR155	microRNA 155	hsa-mir-155
HGNC:35460	Approved	MIR155HG	MIR155 host gene	BIC
HGNC:35460	Approved	MIR155HG	MIR155 host gene	NCRNA00172
HGNC:35460	Approved	MIR155HG	MIR155 host gene	miPEP155
HGNC:48659	Approved	MIR181A1HG	MIR181A1 host gene	
HGNC:31567	Approved	MIR196A1	microRNA 196a-1	hsa-mir-196-1
HGNC:31567	Approved	MIR196A1	microRNA 196a-1	hsa-mir-196a-1
HGNC:31790	Approved	MIR196B	microRNA 196b	hsa-mir-196b
HGNC:31589	Approved	MIR212	microRNA 212	hsa-mir-212
HGNC:31871	Approved	MIR378A	microRNA 378a	hsa-mir-378
HGNC:32073	Approved	MIR488	microRNA 488	hsa-mir-488
HGNC:32074	Approved	MIR489	microRNA 489	hsa-mir-489
HGNC:32076	Approved	MIR491	microRNA 491	hsa-mir-491
HGNC:53539	Approved	MIR548A1HG	MIR548A1 host gene	
HGNC:38921	Approved	MIR548AA2	microRNA 548aa-2	hsa-mir-548aa-2
HGNC:41625	Approved	MIR548AG1	microRNA 548ag-1	hsa-mir-548ag-1
HGNC:43539	Approved	MIR548AO	microRNA 548ao	hsa-mir-548ao
HGNC:43550	Approved	MIR548AS	microRNA 548as	hsa-mir-548as
HGNC:43537	Approved	MIR548AV	microRNA 548av	hsa-mir-548av
HGNC:35305	Approved	MIR548F1	microRNA 548f-1	hsa-mir-548f-1
