Type,name,quant.files
Normal,HDF1_UT1,HDF1_UT1
Normal,HDF1_UT2,HDF1_UT2
Normal,HDF1_UT3,HDF1_UT3
Normal,HDF2_UT1,HDF2_UT1
Normal,HDF2_UT2,HDF2_UT2
Normal,HDF2_UT3,HDF2_UT3
Normal,HDF3_UT1,HDF3_UT1
Normal,HDF3_UT2,HDF3_UT2
Normal,HDF3_UT3,HDF3_UT3
Normal,HDFPA_UT1,HDFPA_UT1
Normal,HDFPA_UT2,HDFPA_UT2
Normal,HDFPA_UT3,HDFPA_UT3
Keloids,KPA_UT1,KPA_UT1
Keloids,KPA_UT2,KPA_UT2
Keloids,KPA_UT3,KPA_UT3
Keloids,P5_UT1,P5_UT1
Keloids,P5_UT2,P5_UT2
Keloids,P5_UT3,P5_UT3
Keloids,P16_UT1,P16_UT1
Keloids,P16_UT2,P16_UT2
Keloids,P16_UT3,P16_UT3
Keloids,P17_UT1,P17_UT1
Keloids,P17_UT2,P17_UT2
Keloids,P17_UT3,P17_UT3
Keloids,P21_UT,P21_UT
Keloids,P24_UT,P24_UT
